id,time,description,mcc,originalMcc,amount,operationAmount,currencyCode,commissionRate,cashbackAmount,balance,hold,receiptId
R-udhTRc1iS7mgAA,1592592670,McDonalds,5814,5814,-17800,-17800,980,0,0,1004611,false,E2XP-94P2-0C3M-509X
_TlpjA2xc-11OMd5,1592592059,АТБ,5499,5499,-22200,-22200,980,0,222,1022411,false,HT8T-BA7P-XT11-6BH0
vTO6c-R9RAE3G4lS,1592506434,Grand Pizza And Cake,5499,5499,-21794,-21794,980,0,217,1044611,false,A2TB-MX46-K13M-AA3H
4_rcRg_bYJ0rnWjy,1592505970,Гранд,5499,5499,-9100,-9100,980,0,91,1066405,false,P4KB-2531-9B4K-1505
7gZN3t68uXtzroQm,1592486574,"Киевстар
+380672944583",4814,4814,-16000,-16000,980,0,0,1075505,true,TAHC-C2B4-B48A-7590
aGNKWBxgCxdmiszv,1592421719,Гранд,5499,5499,-8440,-8440,980,0,84,1091505,false,5B7X-1E5X-AK69-56H8
ClylLVodbEh9beAb,1592379048,"Киевстар
+380975073174",4814,4814,-10000,-10000,980,0,0,1099945,true,CC1X-1X05-M45E-E0T4
3DdMTJmDaUr-qhl7,1592336668,LIQPAY*Qnet,4816,4816,-15450,-15450,980,0,0,1109945,false,45B0-80K3-P40E-65C8
O10UYV51A-oFOJLd,1592336557,EVEREST24.COM.UA,4816,4816,-19500,-19500,980,0,0,1125395,false,8073-6KP1-XHH3-2TAM
R_w7X_kb5hRIBjqF,1592336380,EasyPay,4900,4900,-41094,-41094,980,0,0,1144895,false,719P-KP75-7BM9-HE89
SiP_KQvlo6n1hqRw,1592332331,Grand Pizza And Cake,5499,5499,-14979,-14979,980,0,149,1185989,false,1P78-E270-2AM8-2TTX
UcwZW74pT5tpGuxE,1592331333,WOG,5541,5541,-76470,-76470,980,0,764,1200968,false,0K9A-P995-9H9H-M2CA
gOspEINnGSVpy-IP,1592296581,ZooHouse1,5995,5995,-26700,-26700,980,0,0,1277438,false,37A9-52X4-T762-PH2C
dBMO5QUP87Rev35a,1592244762,Гранд,5499,5499,-9100,-9100,980,0,91,1304138,false,4A75-KXMH-T51X-2KET
Wf6MpPrY2Td1rka4,1592244340,Grand Pizza And Cake,5499,5499,-16963,-16963,980,0,169,1313238,false,43C7-9850-3B66-HBKT
IYFZPLBncLN2xbdr,1592152335,Епіцентр,5211,5211,-28326,-28326,980,0,0,1330201,false,4P16-56XK-K901-EM9M
bnu4zfKdhRBYyztM,1592144346,АТБ,5411,5411,-32370,-32370,980,0,323,1358527,false,0828-M29H-T3T2-0HAE
YF95Lm8zU9h1w3Gp,1592143659,FOP REDCHIC MA,5912,5912,-7040,-7040,980,0,0,1390897,false,2TP2-H8BC-A21E-91KA
9nXU1IC_W7WAqZbi,1592142344,magazyn Rodynna kovbas,5499,5499,-4070,-4070,980,0,40,1397937,false,65PA-BCX4-5P65-KXEX
LHe8rawBW-WrY32m,1592142145,АТБ,5411,5411,-8120,-8120,980,0,81,1402007,false,K50P-15T9-13MK-1H1K
1qPUTr3TDl-0LuPz,1592138958,TAT,5814,5814,-2800,-2800,980,0,0,1410127,false,B4M8-78X0-TAC9-TC3B
oiVyLBPoFPm33saV,1592046306,TAT,5814,5814,-3800,-3800,980,0,0,1412927,false,P1T4-CP53-EX3K-94EH
_Qnv5WFvLojWc7It,1591983471,Гранд,5499,5499,-4550,-4550,980,0,45,1416727,false,94X4-17CC-0498-EEK0
ijgiKj9gj9xSC-Xy,1591983395,Grand Pizza And Cake,5499,5499,-25291,-25291,980,0,252,1421277,false,063B-BXTX-BEHX-CAP8
dtnp4lCDJaskvadU,1591902467,Grand Pizza And Cake,5499,5499,-4870,-4870,980,0,48,1446568,false,18K9-CCH4-K6TC-CC4K
toTFFsF_VI-4DIHJ,1591902356,Гранд,5499,5499,-9300,-9300,980,0,93,1451438,false,4M21-A6X5-0K95-EK6A
2Q3AMTF_HpFTnCWf,1591901572,METRO,5399,4215,-25420,-25420,980,0,254,1460738,false,8KPC-13KT-E1BM-0XBH
ZU5LkaPbbTtuQ8iO,1591896924,WOG,5541,5541,-4200,-4200,980,0,42,1486158,false,6B49-MCPX-MP0X-P83X
tDyXs7vndzM1bHig,1591892158,WOG,5541,5541,-3250,-3250,980,0,32,1490358,false,AKE6-7983-0T1H-MP27
Nzt_SUQkK3hIKwYU,1591888592,OKKO,5541,5541,-1900,-1900,980,0,19,1493608,false,PAT8-768P-0EA9-P482
hIdGPw5AQDKlmqnt,1591865647,АТБ,5499,5499,-8830,-8830,980,0,88,1495508,false,7BT4-HHPE-X5K4-KE5K
zidPZYcCSRPKclL6,1591848510,WOG,5541,5541,-92015,-92015,980,0,920,1504338,false,K8MT-603T-KA8T-EXXM
x23l6gthWL8OyxIa,1591820345,АТБ,5499,5499,-20270,-20270,980,0,202,1596353,false,M3K4-5H25-7CT0-6AXP
Y0D90xl4Vg1MdbLq,1591801691,516874****7562,4829,4829,-41809,-41809,980,1608,0,1616623,true,P3T1-ME6T-652M-H116
K1k-CK3kn6UGv4Hm,1591801438,WWW.PAY.VN.UA,4900,4900,-64373,-64373,980,0,0,1658432,false,K87H-5XBX-X9PT-9203
qvfsIvItIqGJAPD2,1591683985,ГРОШ,5411,5411,-9780,-9780,980,0,97,1722805,false,9MBP-B55C-2558-P768
mAdZKn4G9h39nXGo,1591618321,MagazinProdukti,5499,5499,-2950,-2950,980,0,29,1732585,false,4428-X9C9-B6HM-CCT9
wkVaMGxnn1LdZwHv,1591550345,Grand Pizza And Cake,5814,5814,-2800,-2800,980,0,0,1735535,false,94T7-XXP8-ABKA-BMP5
VjBT7ycYQ59xGPiQ,1591550003,Grand Pizza And Cake,5499,5499,-12036,-12036,980,0,120,1738335,false,25BM-30MA-92HX-PBP8
